build,Build
news,Release notes
projects,Build your app
define,Define your process
cordova,Cordova
agents,Manage your agents
xplat,Cross-platform
scripts,Run scripts
steps,Steps
services,Build and Deployment service
build-steps,Build
utility-steps,Utility
test-steps,Test
package-steps,Package
deploy-steps,Deploy
teststep-pccr,Publish Code Coverage Results
teststep-ptr,Publish Test Results
teststep-xtc,Xamarin Test Cloud
deploystep-acsd, Azure Cloud Service Deployment
deploystep-aps, Azure PowerShell
deploystep-argd, Azure Resource Group Deployment
deploystep-asdd, Azure SQL Database Deployment
deploystep-awad, Azure Web App Deployment
