Date Added,Title,Topic ID,Content ID,Locale,Product Family,Product Version,Redirect Pattern ID,Redirect URL, Search String
1/6/2016,Build the application,a971b0f9-7c28-479d-a37b-8fd7e27ef692,ms181709,all,VS,140,2,https://msdn.microsoft.com/en-us/Library/vs/alm/Build/overview,
1/6/2016,Deploy and configure build agents,311009b4-fccd-441c-9680-f8a065b9808b,bb399135,all,VS,140,2,https://msdn.microsoft.com/en-us/Library/vs/alm/Build/agents/admin,
1/6/2016,Deploy and configure a build server,2d258a0a-f178-4e93-9da1-eba61151af3c,ms181712,all,VS,140,2,https://msdn.microsoft.com/en-us/Library/vs/alm/Build/agents/admin,
1/6/2016,Configure and manage your build system,4502f04a-71fd-4e9c-a29c-9d02e4f6d597,ms252495,all,VS,140,2,https://msdn.microsoft.com/en-us/Library/vs/alm/Build/agents/admin,
1/6/2016,Scale out your build system,8062e877-6824-44e3-b65c-dfcbbc97c206,dd793166,all,VS,140,2,https://msdn.microsoft.com/en-us/Library/vs/alm/Build/agents/admin,
1/6/2016,What's new in Team Foundation Build,a5d9741e-72c5-48f7-960d-f6e1a05e3fc2,hh977160,all,VS,140,2,https://msdn.microsoft.com/en-us/Library/vs/alm/Build/news/2015,
1/11/2016,Team Foundation Build Overview,99d1d4a8-1f8a-40ca-aabd-76b6cbd2d7a5,ms181710,all,VS,140,2,https://msdn.microsoft.com/en-us/Library/vs/alm/Build/overview,
1/11/2016,Walkthrough: Configuring Team Build to Build a Visual Studio Setup Project,8461d615-ce78-4ca5-97d6-80d939743052,ms404859,all,VS,140,2,https://msdn.microsoft.com/en-us/Library/vs/alm/Build/overview,
1/28/2016,Set up a CI build,44717c59-6e8a-47df-a499-3a3eb162b1a6,bb558973,all,VS,140,2,https://msdn.microsoft.com/en-us/Library/vs/alm/Build/vs/define-build,
1/28/2016,Run tests in your build process,d05743a1-c5cf-447e-bed9-bed3cb595e38,ms253138,all,VS,140,2,https://www.visualstudio.com/en-us/get-started/test/run-tests-with-builds,
1/28/2016,Define your build process,61593e10-d24b-492f-b19a-af4d85abea6b,ms181715,all,VS,140,2,https://msdn.microsoft.com/en-us/Library/vs/alm/Build/define/create,
1/28/2016,Create or edit a build definition,1c2eca2d-9a65-477e-9b23-0678ff7882ee,ms181716,all,VS,140,2,https://msdn.microsoft.com/en-us/Library/vs/alm/Build/define/create,
1/28/2016,Specify build triggers and reasons,014800ce-b40d-4a03-9925-c7b2c5b60ae2,hh190718,all,VS,140,2,https://msdn.microsoft.com/en-us/Library/vs/alm/Build/define/triggers,
1/28/2016,Work with build workspaces,bcd0d0d7-3288-4970-946f-5135c4b707e2,hh190721,all,VS,140,2,https://msdn.microsoft.com/en-us/Library/vs/alm/Build/define/repository,
1/28/2016,Use the Default Template for your build process,43930b12-c21b-4599-a980-2995e3d16e31,dd647547,all,VS,140,2,https://msdn.microsoft.com/en-us/Library/vs/alm/Build/define/create,
1/28/2016,Use build numbers to give meaningful names to completed builds,1f302e9d-4b0a-40b5-8009-b69ca6f988c3,hh190719,all,VS,140,2,https://msdn.microsoft.com/en-us/Library/vs/alm/Build/define/general,
1/28/2016,Index and publish symbol data,bd6977ca-e30a-491a-a153-671d81222ce6,hh190722,all,VS,140,2,https://msdn.microsoft.com/Library/vs/alm/Build/steps/build/index-sources-publish-symbols,
1/28/2016,Use a gated check-in build process to validate changes,9cfc8b9c-1023-40fd-8ab5-1b1bd9c172ec,dd787631,all,VS,140,2,https://msdn.microsoft.com/en-us/Library/vs/alm/Build/define/triggers,
1/28/2016,Build and test a Windows Store app using Team Foundation Build,d0ca17bb-deae-4f3d-a18d-1a99bebceaa9,hh691189,all,VS,140,2,https://msdn.microsoft.com/en-us/Library/vs/alm/Build/apps/universal,
1/28/2016,Customize your build process,12637147-c3ef-4969-9408-093301041f0f,ms400688,all,VS,140,2,https://msdn.microsoft.com/en-us/Library/vs/alm/Build/steps/index,
1/28/2016,Run a script in your build process,17fed0d0-e0c7-4121-b2b8-40f8245bcbd2,dn376353,all,VS,140,2,https://msdn.microsoft.com/en-us/Library/vs/alm/Build/scripts/index,
1/28/2016,Customize your build process template,b94c58f2-ae6f-4245-bedb-82cd114f6039,dd647551,all,VS,140,2,https://msdn.microsoft.com/en-us/Library/vs/alm/Build/steps/index,
1/28/2016,Use and develop custom build process activities,fd1658c5-ddce-4d94-9944-d1325042af93,hh850441,all,VS,140,2,https://msdn.microsoft.com/en-us/Library/vs/alm/Build/steps/index,
1/28/2016,Team Foundation Build environment variables,df751b0d-8232-4f27-9be0-91dc1ad71faa,hh850448,all,VS,140,2,https://msdn.microsoft.com/en-us/Library/vs/alm/Build/scripts/variables,
1/28/2016,Team Foundation Build activities,a7c92c11-6bbb-4b5e-ab35-af5edb7c6cf5,gg265783,all,VS,140,2,https://msdn.microsoft.com/en-us/Library/vs/alm/Build/steps/index,
1/28/2016,Grant a build server permission to serve a team project collection,64ce9594-a98b-4e5f-937d-90b3195297e0,cc668757,all,VS,140,2,https://msdn.microsoft.com/en-us/Library/vs/alm/Build/agents/admin,
1/28/2016,Deploy and configure a build controller,788443c3-0547-452e-959c-4805573813a9,ee330987,all,VS,140,2,https://msdn.microsoft.com/en-us/Library/vs/alm/Build/agents/admin,
1/28/2016,Select a staging location and set up a drop folder,07cfa976-28b8-41da-940d-097735ddbb87,bb778394,all,VS,140,2,https://msdn.microsoft.com/en-us/Library/vs/alm/Build/steps/utility/publish-build-artifacts,
